#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   B1620-26      ,  16:23:38.2218     ,  -26:31:53.769      ,   1.800 , 2.62e+08, 1.9e+34
   J1625-0021    ,  16:25:10.3579     ,  -00:21:28.960      ,   0.951 , 2.11e+09, 3.7e+34
   J1626-4807    ,  16:26:42.5        ,  -48:07:54          ,   7.453 , 2.66e+05, 2.7e+34
   J1627-4706    ,  16:27:28.75       ,  -47:06:50.2        ,   6.407 , 1.29e+06, 2.5e+34
   J1630+3734    ,  16:30:36.46693    ,  +37:34:42.097      ,   1.187 , 4.88e+09, 1.2e+34
   J1632-4757    ,  16:32:16.66       ,  -47:57:34.5        ,   4.836 , 2.4e+05 , 5.0e+34
   J1632-4818    ,  16:32:39.70       ,  -48:18:53.8        ,   5.308 , 1.99e+04, 4.8e+34
   J1636-4440    ,  16:36:16.53       ,  -44:40:25          ,   12.455, 7.01e+04, 2.1e+35
   J1637-0314A   ,  17:37:35.88794    ,  -03:14:34.775      ,   9.300 , 3.28e+08, 4.9e+35
   B1634-45      ,  16:37:58.692      ,  -45:53:26.82       ,   3.442 , 5.9e+05 , 7.5e+34
   J1637-4642    ,  16:37:13.75       ,  -46:42:14.2        ,   4.410 , 4.12e+04, 6.4e+35
   J1638-4417    ,  16:38:46.226      ,  -44:17:03.2        ,   12.027, 1.16e+06, 3.9e+34
   J1638-4608    ,  16:38:23.26       ,  -46:08:13.4        ,   4.570 , 8.56e+04, 9.4e+34
   J1640-4631    ,  16:40:43.52       ,  -46:31:35.4        ,   12.750, 3.35e+03, 4.4e+36
   B1636-47      ,  16:40:13.09       ,  -47:15:38.1        ,   4.909 , 1.95e+05, 1.2e+34
   J1641+3627E   ,  16:41:42.0221     ,  +36:27:34.9676     ,   7.100 , 2.26e+09, 4.5e+34
   J1641+3627F   ,  16:41:44.6058     ,  +36:28:16.0034     ,   7.100 , 3.4e+09 , 2.0e+34
   J1641+8049    ,  16:41:20.8381     ,  +80:49:52.9142     ,   3.035 , 3.58e+09, 4.3e+34
   J1643-4505    ,  16:43:36.91       ,  -45:05:45.8        ,   4.738 , 1.18e+05, 9.4e+34
   J1644-4657    ,  16:44:38.5        ,  -46:57:38          ,   6.749 , 2.66e+06, 1.5e+34
   B1643-43      ,  16:46:51.3        ,  -43:46:38          ,   6.226 , 3.25e+04, 3.6e+35
   J1648-4611    ,  16:48:22.043      ,  -46:11:15.75       ,   4.468 , 1.1e+05 , 2.1e+35
   J1649-4653    ,  16:49:24.61       ,  -46:53:09.3        ,   4.964 , 1.78e+05, 1.1e+34
   J1650-4502    ,  16:50:32.30       ,  -45:02:37.3        ,   3.918 , 3.76e+05, 1.1e+34
   J1650-4921    ,  16:50:35.109      ,  -49:21:03.76       ,   5.307 , 1.36e+06, 1.9e+34
   J1653-0158    ,  16:53:38.05381    ,  -01:58:36.8930     ,   0.840 , 1.3e+10 , 1.2e+34
   J1658-5324    ,  16:58:39.34359    ,  -53:24:07.003      ,   0.880 , 3.46e+09, 3.0e+34
   J1701-3006D   ,  17:01:13.5631     ,  -30:06:42.559      ,   7.050 , 4.31e+08, 1.2e+35
   J1701-3006E   ,  17:01:13.2734     ,  -30:06:46.89       ,   7.050 , 1.65e+08, 3.6e+35
   J1701-3006F   ,  17:01:12.8222     ,  -30:06:51.82       ,   7.050 , 1.64e+08, 7.3e+35
   J1702-4128    ,  17:02:52.52       ,  -41:28:48.2        ,   3.967 , 5.51e+04, 3.4e+35
   J1702-4306    ,  17:02:27.36       ,  -43:06:45.1        ,   5.047 , 3.49e+05, 3.9e+34
   J1702-4310    ,  17:02:26.94       ,  -43:10:40          ,   4.326 , 1.7e+04 , 6.3e+35
   J1704-3756    ,  17:04:57.466      ,  -37:56:42.9        ,   15.245, 4.29e+05, 1.6e+34
   J1705-3950    ,  17:05:29.84       ,  -39:50:59          ,   3.426 , 8.34e+04, 7.4e+34
   B1706-44      ,  17:09:42.728      ,  -44:29:08.24       ,   2.600 , 1.75e+04, 3.4e+36
   J1710+4923    ,  17:10:04.44109    ,  +49:23:11.4784     ,   0.506 , 2.8e+09 , 2.2e+34
   J1714-3810    ,  17:14:05.74       ,  -38:10:30.9        ,   13.200, 1.03e+03, 4.1e+34
   J1715-3903    ,  17:15:14.08       ,  -39:02:57.10       ,   3.737 , 1.18e+05, 6.8e+34
   J1717+4308A   ,  17:17:06.49640    ,  +43:08:03.4806     ,   8.300 , 8.19e+08, 7.7e+34
   J1718-3825    ,  17:18:13.565      ,  -38:25:18.06       ,   3.488 , 8.95e+04, 1.3e+36
   B1718-35      ,  17:21:32.778      ,  -35:32:49.6        ,   4.600 , 1.76e+05, 4.5e+34
   B1719-37      ,  17:22:59.21       ,  -37:12:04.50       ,   2.477 , 3.44e+05, 3.3e+34
   J1723-2837    ,  17:23:23.1856     ,  -28:37:57.17       ,   0.928 , 3.9e+09 , 4.7e+34
   J1723-3659    ,  17:23:07.58       ,  -36:59:14.2        ,   3.497 , 4e+05   , 3.8e+34
   J1725-3853    ,  17:25:27.27       ,  -38:53:04.20       ,   3.142 , 1.52e+09, 1.8e+34
   J1726-3530    ,  17:26:07.51       ,  -35:29:58          ,   4.722 , 1.45e+04, 3.5e+34
   B1727-33      ,  17:30:32.559      ,  -33:50:39.4        ,   3.488 , 2.6e+04 , 1.2e+36
   J1731-1847    ,  17:31:17.609823   ,  -18:47:32.666      ,   4.782 , 1.46e+09, 7.8e+34
   B1727-47      ,  17:31:42.160      ,  -47:44:36.26       ,   0.700 , 8.04e+04, 1.1e+34
   J1732-3131    ,  17:32:33.54       ,  -31:31:23          ,   0.640 , 1.11e+05, 1.5e+35
   B1730-37      ,  17:33:26.7624     ,  -37:16:55.23       ,   3.150 , 3.56e+05, 1.5e+34
   J1734-3333    ,  17:34:26.9        ,  -33:33:20          ,   4.461 , 8.13e+03, 5.6e+34
   J1735-3258    ,  17:35:56.92       ,  -32:58:21.82       ,   4.974 , 2.14e+05, 2.4e+34
   J1737-3137    ,  17:37:04.29       ,  -31:37:21          ,   4.162 , 5.14e+04, 6.0e+34
   J1738-2955    ,  17:38:52.12       ,  -29:55:57.42       ,   3.460 , 8.57e+04, 3.7e+34
   J1739-3023    ,  17:39:39.79       ,  -30:23:12.92       ,   3.074 , 1.59e+05, 3.0e+35
   J1740+1000    ,  17:40:25.950      ,  +10:00:06.3        ,   1.227 , 1.14e+05, 2.3e+35
   B1737-30      ,  17:40:33.82       ,  -30:15:43.5        ,   0.400 , 2.06e+04, 8.2e+34
   J1740-5340A   ,  17:40:44.589      ,  -53:40:40.9        ,   2.200 , 3.44e+08, 1.4e+35
   J1741+1351    ,  17:41:31.1447385  ,  +13:51:44.11589    ,   1.667 , 1.96e+09, 2.3e+34
   J1743-3153    ,  17:43:15.565      ,  -31:53:05.3        ,   8.819 , 2.9e+05 , 5.8e+34
   J1745-2900    ,  17:45:40.1662     ,  -29:00:29.896      ,   8.300 , 3.4e+03 , 1.3e+34
   J1746-2850    ,  17:46:06.6        ,  -28:50:42          ,   5.612 , 1.27e+04, 4.2e+34
   J1747-2809    ,  17:47:22.80       ,  -28:09:15.0        ,   8.141 , 5.31e+03, 4.3e+37
   J1747-2958    ,  17:47:15.882      ,  -29:58:01.0        ,   2.520 , 2.55e+04, 2.5e+36
   J1747-4036    ,  17:47:48.716407   ,  -40:36:54.7912     ,   7.152 , 1.98e+09, 1.2e+35
   J1748-2446aj  ,  17:48:05.0119     ,  -24:46:34.85       ,   6.900 , 3.32e+08, 2.2e+35
   J1748-2446ak  ,  17:48:03.6860     ,  -24:46:37.83       ,   6.900 , 3.38e+08, 5.2e+35
   J1748-2446an  ,  17:48:05.65898    ,  -24:46:42.03       ,   4.389 , 4.89e+08, 5.6e+34
   J1750-3703D   ,  17:50:13.0969     ,  -37:03:06.368      ,   11.600, 1.65e+08, 1.4e+35
   J1755-2534    ,  17:55:49.82       ,  -25:34:39          ,   4.399 , 3.3e+05 , 3.5e+34
   J1756-2225    ,  17:56:25.56       ,  -22:25:48          ,   4.779 , 1.22e+05, 3.1e+34
   B1754-24      ,  17:57:29.3235     ,  -24:22:07.4        ,   3.124 , 2.85e+05, 4.0e+34
   J1801-0857H   ,  18:01:52.5895     ,  -08:57:53.15       ,   10.600, 2.32e+08, 8.5e+34
   J1801-2154    ,  18:01:08.68       ,  -21:54:07.15       ,   4.132 , 3.71e+05, 1.2e+34
   B1758-23      ,  18:01:19.81488    ,  -23:04:44.637      ,   4.000 , 5.83e+04, 6.2e+34
   B1757-24      ,  18:01:00.016      ,  -24:51:27.5        ,   3.803 , 1.55e+04, 2.6e+36
   B1800-21      ,  18:03:51.4105     ,  -21:37:07.351      ,   4.400 , 1.58e+04, 2.2e+36
   J1805+0615    ,  18:05:42.39969    ,  +06:15:18.606      ,   3.885 , 1.48e+09, 9.3e+34
   J1806-2125    ,  18:06:19.80       ,  -21:27:55.58       ,   4.886 , 6.47e+04, 4.2e+34
   J1807-2459B   ,  18:07:20.871209   ,  -25:00:01.915      ,   3.000 , 8.06e+08, 4.4e+34
   J1808-2024    ,  18:08:39.337      ,  -20:24:39.85       ,   13.000, 218     , 5.0e+34
   J1809-1917    ,  18:09:43.136      ,  -19:17:38.1        ,   3.268 , 5.14e+04, 1.8e+36
   J1809-2332    ,  18:09:50.25       ,  -23:32:22.68       ,   0.880 , 6.76e+04, 4.3e+35
   J1810+1744    ,  18:10:37.28       ,  +17:44:37.38       ,   2.361 , 5.72e+09, 4.0e+34
   J1811-1925    ,  18:11:29.2        ,  -19:25:28          ,   5.000 , 2.33e+04, 6.4e+36
   J1811-2405    ,  18:11:19.854050   ,  -24:05:18.422      ,   1.830 , 3.06e+09, 2.9e+34
   J1812-1910    ,  18:12:34.89       ,  -19:10:39          ,   5.922 , 1.81e+05, 1.9e+34
